ID,p-factor,temperature,ls-ratio,ael,total-carbs,target,acqfn,batch,Tg,Degradation Tonset,Degradation T50%,Degradation Tmax,Mw,Mw + aggregates,RSI,Surface tension 0.5 mgml,Surface tension 0.4 mgml,Surface tension 0.25 mgml,Surface tension 0.1 mgml,Surface tension 0.08 mgml,b-O-4,chain-length
P250-181-0.25,250.0,180.582093,0.25,0.48,32.4,total-carbs,elcb,6.0,,,,,,,,,,,,,27.7,12.0
P250-185-1.26,250.0,184.50965,1.258470852,7.14,8.7,total-carbs,elcb,6.0,123.07,,,,,,6.03,60.7016,60.6104,62.0834,66.6948,66.7846,23.9,6.3
P265-192-2.00,265.3823446,191.5182722,2.0,5.24,9.7,total-carbs,explore,6.0,121.33,,,,,,3.64,59.5464,60.287,62.7638,64.942,64.965,27.9,6.8
P319-175-2.00,318.9997054,174.8103766,2.0,6.12,8.6,total-carbs,explore,6.0,118.97,,,,,,6.52,59.5916,59.1236,61.3142,65.2016,64.9356,23.2,5.9
P1000-185-1.15,1000.0,184.9658118,1.147356965,18.72,3.1,ael,elcb,7.0,130.94,,,,,,7.88,62.021,65.5278,66.6678,68.0856,68.568,9.2,2.3
P993-195-1.24,992.6304538,195.0,1.241311537,18.3,3.6,ael,elcb,7.0,129.22,,,,,,7.26,60.9316,63.5004,64.5952,66.59,68.8416,12.6,4.3
P728-160-0.25,728.0504754,160.0,0.25,10.26,21.0,ael,explore,7.0,117.29,,,,,,7.83,60.8988,62.3658,64.9466,59.9134,66.6584,16.9,5.5
P840-195-2.00,839.5317857,195.0,2.0,14.13,3.4,ael,explore,7.0,122.25,,,,,,7.09,61.313,61.7676,63.3594,68.564,69.0998,13.1,4.5
P250-187-0.44,250.0,187.4900004,0.440413926,2.11,46.3,total-carbs,elcb,7.0,,,,,,,,,,,,,32.7,8.7
P250-187-0.43,250.0,187.3939893,0.426081676,2.89,48.7,total-carbs,elcb,7.0,,,,,,,,,,,,,33.5,8.5
P1000-195-0.25,1000.0,195.0,0.25,3.4,42.2,total-carbs,explore,7.0,93.23,,,,,,6.12,58.1892,59.1498,61.9888,66.5504,67.8396,26.4,9.9
P605-195-0.90,605.2120401,195.0,0.896445697,10.41,19.3,total-carbs,explore,7.0,,,,,,,5.54,,,,,,25.3,5.4
