substrate	model	n_valid	mean_aic	median_aic	mean_bic	mean_r2	median_r2	win_rate_aic	win_rate_bic	rho_inflection_outcome	p_inflection_outcome	n_corr
al6061	logistic	146	-1321.5571063987054	-1541.0679285659949	-1314.3405088447334	0.9830681125648909	0.9877791462739602	0.15753424657534246	0.15753424657534246	-0.7034232115141759	4.177354938911591e-23	146
al6061	gompertz	146	-1443.5592773205553	-1589.1039341034957	-1436.342679766583	0.9876934338603377	0.991843657342308	0.3219178082191781	0.3219178082191781	-0.6939566001176096	2.721872786408542e-22	146
al6061	weibull	146	-1450.9031286048378	-1607.8662876207873	-1443.6865310508654	0.9866696521365741	0.9918601397017275	0.2534246575342466	0.2534246575342466	-0.555741851309284	9.81349419072553e-12	128
al6061	hill	146	-1277.3185252670908	-1473.6058728321632	-1270.1019277131184	0.9785651515536268	0.9839697939934517	0.2671232876712329	0.2671232876712329	-0.6179383609844505	9.665811955494871e-17	146
