model	n_valid	median_aic	median_r2	median_inflection	win_rate_aic	rho_infl_Fmax	p_infl_Fmax	n_corr
logistic	263	-2126.0152225174375	0.9900328151342681	0.47768264133908944	0.779467680608365	-0.3402975859075473	1.493554781009023e-08	263
gompertz	263	-2050.9389726988384	0.9883974514373448	0.34717370746397347	0.20532319391634982	-0.33558431380827103	2.4196304488583395e-08	263
weibull	263	-1979.2603643964073	0.9865795018477489	0.28639218027531554	0.015209125475285171	-0.31992595973961885	1.1350440549574818e-07	263
hill	263	-1504.4571037549792	0.9657004589862352	0.272359341288352	0.0	-0.339206507943628	1.6712327651246806e-08	263
