country,year,n_speeches,sv_mean_median,fid_mean_median,nc2_median,E_a_median,cv_sv_median,a_hat_diskurs,k_hat_diskurs,r2_diskurs,cum_damage,polyarchy,drift_rate
HU,2014,250,0.9661594014901381,0.39044249893137906,12.37321424484253,44.689235713792385,0.1553550819958241,0.494165078356933,4.818919170277796,0.9892521544789906,17.23399122271179,0.669,-0.0605
HU,2015,250,0.9700605298569001,0.37210917247064185,12.549007415771484,46.62288582612422,0.15359304387254963,0.5101319422511459,5.396270006790189,0.994177607341363,17.732452657724917,0.617,-0.028000000000000025
HU,2016,250,0.9610784621839237,0.37002170898697595,11.586385250091553,43.08202640060779,0.1571076805947247,0.5631316266072651,5.035251922842137,0.9891750574930287,15.884547527245607,0.613,-0.030999999999999972
HU,2017,250,0.9640291524784905,0.37174034402483985,12.09084177017212,44.404883882773696,0.15704851175293982,0.5212398961067106,4.908808600111277,0.9836050134938723,17.373534243230242,0.555,-0.066
HU,2018,250,0.9667069919052578,0.38144797555037907,11.191524982452393,44.02720249830363,0.1543055620598482,0.5145524733812312,4.902798295381385,0.991173996765815,20.23164000473391,0.481,-0.04450000000000001
HU,2019,250,0.9740210376704983,0.37513786908629887,11.709726810455322,48.38420355166528,0.1493460465397295,0.4745336051717104,5.0064348946732595,0.9867819200960541,17.348263862329937,0.466,-0.010499999999999982
HU,2020,250,0.9819331695636113,0.39657017534429373,12.039693355560303,49.7640060130235,0.14491061222674248,0.48531173961833646,4.780407874841778,0.9857145337126547,17.736975514973416,0.46,-0.008000000000000007
HU,2021,250,0.972698387172487,0.3772153989626811,11.565918445587158,45.51011748829872,0.14890804572883437,0.5054691662310328,4.62141155479212,0.9786209254602694,18.780039072458397,0.45,-0.006500000000000006
HU,2022,250,0.9716953615931904,0.3777571861942609,11.180661678314209,44.28574217060637,0.15531845283385565,0.5035344574053867,4.587887995143158,0.9853634362412794,17.60853237159385,0.447,-0.008000000000000007
HU,2023,250,0.9682707591968425,0.3934183658072443,12.80155086517334,43.382221505774886,0.1556339027180524,0.5100719822497499,4.917702687857674,0.9866043481509615,18.179684245327167,0.434,-0.0015000000000000013
PL,2015,250,0.9691315621438652,0.35483996342453694,11.510641098022461,50.52421646056241,0.146690228904537,0.4982602443750286,4.842072180807091,0.9876471355191045,18.14710826842299,0.876,-0.07550000000000001
PL,2016,250,0.9838638564580167,0.372979844158346,11.684422016143799,49.413644189849364,0.14325846547704119,0.523179285979846,4.734256111660882,0.9877124488131482,17.799005505414538,0.731,-0.08900000000000002
PL,2017,250,0.9845940272013346,0.37693155012451685,11.34200668334961,49.74719059046702,0.14035628772253678,0.4981114333050487,5.01775968710169,0.983625947549119,19.612363140628467,0.698,-0.018500000000000016
PL,2018,250,0.9809624109198065,0.3652782682329416,11.515784740447998,49.373253369844235,0.14230808978567977,0.49692116240426776,4.734529472326529,0.9876292191060361,19.5752365994237,0.694,-0.007999999999999952
PL,2019,250,0.9945135019945376,0.3798516061570909,12.188598155975342,44.97769326644643,0.1506178376943369,0.4682885002754669,5.013515281002532,0.9877655539013294,17.229587991496523,0.682,-0.03899999999999998
PL,2020,250,1.0025686542193095,0.39177828492262423,12.067159175872803,50.4852523659242,0.1403508745435279,0.4872190281212517,5.06042917357742,0.9901591186069955,16.637927266409314,0.616,-0.04750000000000004
PL,2021,250,1.0038997393263422,0.39844058596170867,12.126749515533447,50.69012364322753,0.14056820596613745,0.48099689144708535,4.810494018023539,0.9899983593860088,17.91197266959085,0.587,-0.019000000000000017
PL,2022,250,0.9844611585140228,0.3757059706882997,10.996614933013916,49.40839686045222,0.14353528345782934,0.4806080066508257,4.649014565767652,0.980830985834751,18.72561612653505,0.578,0.005500000000000005
SI,2000,42,0.9493227636530286,0.3452805072542221,11.532940864562988,46.799459250966976,0.1552466073149794,0.592697262466914,4.529726537500997,0.9838871327236257,2.362455961911943,0.84,-0.0025000000000000022
SI,2001,250,0.9458078260546596,0.3142290991086226,11.474494457244873,49.18075058187988,0.1517909119187225,0.5067912498157007,5.056983408518074,0.9884974403414684,18.36379764499185,0.832,0.0015000000000000013
SI,2002,250,0.9463105204430493,0.3208122706097184,10.919684410095215,47.25065353360249,0.15466892520440434,0.5142684412228371,4.825975294256135,0.984941513150254,20.901591330944303,0.843,0.004500000000000004
SI,2003,250,0.943454115857459,0.3417150212417949,11.276691913604736,52.99250505479226,0.14716885891956571,0.5314735829108784,4.853160903089178,0.9786295810586495,20.822925354353355,0.841,-0.009000000000000008
SI,2004,250,0.9447031848960452,0.3427344116202572,11.049832344055176,51.50288472042104,0.1511157046676117,0.5080149954983065,4.883551007563479,0.9878457807790562,21.781562511907772,0.825,-0.009500000000000008
SI,2005,250,0.9460921674966812,0.3329417293721979,10.45420503616333,53.94975379045272,0.14319249208261842,0.5208566234477726,4.94416128336808,0.9897164386971815,21.811911865321424,0.822,-0.0010000000000000009
SI,2006,250,0.9464120984077453,0.33568387446981485,10.591567039489746,54.124814629144,0.14108792952676225,0.49759278699850285,5.179900055050182,0.9917061086435381,17.67350802382367,0.823,0.0020000000000000018
SI,2007,250,0.9633839536796917,0.3542444400523043,11.498003959655762,53.64039872534802,0.14298121264050523,0.517397509198525,4.505681253748555,0.9777950687700546,20.094763052565995,0.826,0.0010000000000000009
SI,2008,250,0.9767856923016635,0.3583453783205339,10.837203025817871,55.14370548019136,0.13934531310381998,0.48946917463772044,5.1141057126078575,0.9907424629412932,18.6423732044861,0.825,0.02350000000000002
SI,2009,250,0.9733977945787566,0.3645986278851827,10.787758350372314,54.51678249142886,0.14036956826507002,0.47479242749975237,5.225539862144046,0.990491067600481,19.574012988323314,0.873,0.02350000000000002
SI,2010,250,0.9710873348017534,0.365689786455848,11.721367359161377,51.994313759967696,0.14193218687920622,0.47235842376360465,4.914150004895643,0.9907705819063296,17.322795334199604,0.872,-0.0050000000000000044
SI,2011,250,0.9729274496285603,0.3532860023634774,10.94542646408081,52.535738738207726,0.14400626043634676,0.4564877892621349,5.084687771721888,0.9904741222804614,19.340972271806912,0.863,-0.012500000000000011
SI,2012,250,0.9707885337254358,0.3645275397433175,11.329147815704346,54.094488977944515,0.13725294809499639,0.5153246014357544,4.802433193765761,0.9866141477150905,19.343239731495746,0.847,-0.004500000000000004
SI,2013,250,0.9752262459860908,0.3691744042294366,11.702995777130127,55.87586771173688,0.13949774424597883,0.4892418238689169,5.0281523219310715,0.9913435093683042,18.951834683067222,0.854,0.009000000000000008
SI,2014,250,0.9739295210157122,0.38034998848066703,11.546404838562012,53.38705410891549,0.14385180997796282,0.4811548694133355,4.834232463931619,0.9916584285473385,20.141398557287665,0.865,0.009500000000000008
SI,2015,250,0.9838638407926934,0.3753156026641091,11.870806694030762,50.15261493850458,0.1423550787066477,0.4923508747229809,4.715206087271426,0.989567105037091,19.785967713939346,0.873,-0.0020000000000000018
SI,2016,250,0.97262258713062,0.3772046574287944,12.683547019958496,51.605163605166084,0.1446171555442806,0.5087671447915941,5.2842089754271715,0.9877388499119159,18.658412948938906,0.861,-0.016500000000000015
