episode_id,country,ep_start,ep_end,ep_length,outcome,outcome_agg,censored,polyarchy_start,polyarchy_end,polyarchy_delta,sigmoid_success,r_squared,toughness,democracy_age,a_hat,k,L,sigmoid_baseline,a_hat_lead
MEX_2020_2025,Mexico,2020.0,2025.0,6.0,1,1,1,0.664,0.469,-0.19500000000000006,True,0.9971498857118285,0.036525641025641035,24,2022.3430079404834,0.42724013992949805,0.4014184208456107,0.22917076928983862,2.656992059516597
GHA_1958_1966,Ghana,1958.0,1966.0,9.0,5,3,0,0.397,0.149,-0.24800000000000003,True,0.8909193465290829,0.04444354838709678,0,1970.9999999999998,0.258187613787819,1.1195311379731634,0.5795786086420106,-4.999999999999773
GHA_2013_2021,Ghana,2013.0,2021.0,9.0,4,2,0,0.75,0.659,-0.09099999999999997,False,0.0,0.02145604395604393,17,,,,,
MMR_1958_1963,Burma/Myanmar,1958.0,1963.0,6.0,5,3,0,0.407,0.077,-0.32999999999999996,True,0.9979569789739982,0.16311969696969697,0,1961.8341582673352,9.99999999965728,0.337785722023498,0.5852313483401111,1.1658417326648305
MMR_2021_2025,Burma/Myanmar,2021.0,2025.0,5.0,5,3,1,0.102,0.08,-0.021999999999999992,False,0.0,0.008719999999999997,0,,,,,
RUS_1993_2014,Russia,1993.0,2014.0,22.0,5,3,0,0.48,0.264,-0.21599999999999997,True,0.9715104386521082,0.02249305555555556,0,2000.9345043610426,0.47798026302508834,0.19573875650796438,0.5136465961290058,13.065495638957373
POL_1926_1931,Poland,1926.0,1931.0,6.0,1,1,0,0.414,0.22,-0.19399999999999998,True,0.9765079170916167,0.05062371134020618,6,1924.0808754978555,0.937164683927813,1.269233760320356,-0.4999999999999889,6.919124502144541
POL_2016_2021,Poland,2016.0,2021.0,6.0,4,2,0,0.731,0.587,-0.14400000000000002,True,0.9563764624835914,0.032402777777777794,26,2019.8155682058439,1.0569825360333172,0.1761385436203842,0.27865843576574717,1.1844317941561258
BRA_2015_2019,Brazil,2015.0,2019.0,5.0,4,2,0,0.861,0.691,-0.17000000000000004,True,0.9196157432175414,0.037126470588235296,28,2011.504786333181,0.22755797096869126,0.9434501765058351,-0.4999999999958226,7.495213666818927
SLV_2018_2025,El Salvador,2018.0,2025.0,8.0,1,1,1,0.631,0.321,-0.31,True,0.9830568153297741,0.06263387096774192,19,2020.1555007582926,1.2761973889155498,0.3130409053117816,0.3465423019135703,4.844499241707354
BGD_2002_2007,Bangladesh,2002.0,2007.0,6.0,1,1,0,0.47,0.205,-0.265,True,0.9997911417958245,0.11552264150943396,10,2006.1472707411908,9.999973527486153,0.26805374621522177,0.5269993189108525,0.8527292588091768
BGD_2013_2018,Bangladesh,2013.0,2018.0,6.0,5,3,0,0.376,0.252,-0.124,True,0.9754700528207828,0.04121774193548386,0,2011.8325817468772,1.976901483428356,1.2360602064984274,-0.4999999999999575,6.1674182531228325
BOL_1930_1935,Bolivia,1930.0,1935.0,6.0,5,3,0,0.136,0.074,-0.06200000000000001,False,0.0,0.04086290322580645,0,,,,,
BOL_2006_2020,Bolivia,2006.0,2020.0,15.0,1,1,0,0.724,0.275,-0.44899999999999995,True,0.9404168085455633,0.09193095768374163,20,2021.680363543559,0.6117755399244788,1.4999999999999998,0.31119081712468255,-1.6803635435589968
HTI_2020_2025,Haiti,2020.0,2025.0,6.0,5,3,1,0.4,0.238,-0.16200000000000003,True,0.9986939399019706,0.06284615384615386,0,2021.0307943843175,9.999999577688584,0.16525813928515623,0.5999943384712516,3.96920561568254
HND_2006_2010,Honduras,2006.0,2010.0,5.0,1,1,0,0.521,0.408,-0.11300000000000004,True,0.9999550127328019,0.044212389380530986,12,2008.8121341156718,4.677063004999628,0.11394561527871988,0.4784928624425023,1.1878658843281755
MLI_1964_1969,Mali,1964.0,1969.0,6.0,5,3,0,0.242,0.106,-0.136,True,0.9920795154086435,0.04646323529411766,0,1970.6744047612792,1.4112263681768211,1.4983737101501342,0.765075208661455,-1.67440476127922
MLI_2008_2013,Mali,2008.0,2013.0,6.0,1,1,0,0.608,0.328,-0.27999999999999997,True,0.9999251608143535,0.132025,15,2011.7758096708542,9.999998822384748,0.28128837209164276,0.3907203788397765,1.224190329145813
MLI_2018_2025,Mali,2018.0,2025.0,8.0,5,3,1,0.518,0.164,-0.354,True,0.9804926230457743,0.08952542372881356,4,2020.2972345623411,2.545121783001311,0.32127987802609687,0.476898067200969,4.702765437658854
PAK_2015_2025,Pakistan,2015.0,2025.0,11.0,5,3,1,0.441,0.302,-0.139,True,0.8907104420844383,0.024133093525179856,0,2029.9999999999911,0.15376836766210547,0.5708122298082785,0.5154926327270168,-4.999999999991132
PER_2016_2025,Peru,2016.0,2025.0,10.0,6,4,1,0.788,0.667,-0.121,True,0.9517782506118986,0.03818150684931503,15,2022.1798982957491,1.521169920702067,0.14698884638687568,0.19924262331283582,2.820101704250874
SEN_2021_2025,Senegal,2021.0,2025.0,5.0,6,4,1,0.714,0.633,-0.08099999999999996,True,0.9522488097215366,0.029766055045871553,31,2022.224465866045,3.7427378456280347,0.0956424048190122,0.2850740717600825,2.775534133955034
AFG_2021_2025,Afghanistan,2021.0,2025.0,5.0,5,3,1,0.144,0.069,-0.07499999999999998,False,0.0,0.033100000000000004,0,,,,,
ARG_1949_1956,Argentina,1949.0,1956.0,8.0,5,3,0,0.372,0.15,-0.222,True,0.972561992095227,0.06061261261261262,0,1957.5935484601032,1.1884977491339224,1.4999999999999971,0.6526568958723467,-1.593548460103193
IND_1971_1975,India,1971.0,1975.0,5.0,1,1,0,0.618,0.39,-0.22799999999999998,True,0.9995564253978563,0.09157894736842104,19,1974.697039703041,2.6217110099580725,0.32719222449696256,0.3846476534000362,0.30296029695909965
IND_2009_2025,India,2009.0,2025.0,17.0,1,1,1,0.683,0.377,-0.30600000000000005,True,0.9902351808384335,0.03327669902912621,31,2015.925954301435,0.5056611296871037,0.32331821639997116,0.3054234008768874,9.074045698564987
KOR_2008_2014,South Korea,2008.0,2014.0,7.0,4,2,0,0.759,0.705,-0.05400000000000005,False,0.0,0.02131481481481483,20,,,,,
KOR_2019_2023,South Korea,2019.0,2023.0,5.0,4,2,0,0.842,0.722,-0.12,True,0.9953816341066549,0.05381666666666668,31,2022.0553504778916,9.99999999999897,0.12601097601783504,0.15199903380988886,0.9446495221084206
LBN_2018_2024,Lebanon,2018.0,2024.0,7.0,5,3,0,0.44,0.347,-0.09300000000000003,False,0.0,0.0261989247311828,0,,,,,
PHL_1966_1973,Philippines,1966.0,1973.0,8.0,5,3,0,0.392,0.077,-0.315,True,0.990378196049096,0.09296507936507936,0,1971.5568032449614,2.6057111363807857,0.3163614373538352,0.6154235298459727,1.4431967550385707
PHL_2001_2005,Philippines,2001.0,2005.0,5.0,1,1,0,0.545,0.463,-0.08200000000000002,False,0.0,0.022445121951219518,13,,,,,
PHL_2016_2025,Philippines,2016.0,2025.0,10.0,1,1,1,0.485,0.392,-0.09299999999999997,False,0.0,0.017016129032258055,6,,,,,
TZA_2015_2021,Tanzania,2015.0,2021.0,7.0,5,3,0,0.453,0.366,-0.08700000000000002,False,0.0,0.01759195402298851,0,,,,,
THA_2003_2007,Thailand,2003.0,2007.0,5.0,1,1,0,0.537,0.181,-0.35600000000000004,True,0.9998233538977825,0.14125702247191013,5,2005.5705074433554,4.380961950326204,0.35342303474925785,0.46627162482417084,1.4294925566446182
UGA_1966_1972,Uganda,1966.0,1972.0,7.0,5,3,0,0.238,0.084,-0.15399999999999997,True,0.9777416851732111,0.03535389610389611,0,1970.7269200326034,1.3702061198352127,0.17237205365855,0.7713641938702265,1.2730799673965976
VEN_1998_2018,Venezuela,1998.0,2018.0,21.0,1,1,0,0.73,0.213,-0.517,True,0.9158364338349844,0.04200290135396519,39,1993.8154801539804,0.0660297707959872,1.499999999999995,-0.499999999999996,24.18451984601961
BFA_2018_2025,Burkina Faso,2018.0,2025.0,8.0,1,1,1,0.666,0.134,-0.532,True,0.9929481406350581,0.16450375939849624,2,2021.6826108527714,3.8564584267512143,0.4982860133856078,0.3368790022224485,3.317389147228596
KHM_1970_1975,Cambodia,1970.0,1975.0,6.0,5,3,0,0.16,0.067,-0.093,False,0.0,0.04838172043010753,0,,,,,
KHM_2016_2025,Cambodia,2016.0,2025.0,10.0,5,3,1,0.275,0.183,-0.09200000000000003,False,0.0,0.022163043478260876,0,,,,,
IDN_1957_1966,Indonesia,1957.0,1966.0,10.0,5,3,0,0.535,0.195,-0.34,True,0.9778883616593198,0.07791176470588237,1,1959.238778447282,2.5059975262231418,0.2917476391065191,0.4924204362628098,6.761221552718098
IDN_2009_2025,Indonesia,2009.0,2025.0,17.0,1,1,1,0.684,0.462,-0.22200000000000003,True,0.9792384443659274,0.022817567567567577,10,2029.9999151962943,0.1438412945004215,0.785595461973613,0.27023623349273324,-4.999915196294296
MOZ_2017_2025,Mozambique,2017.0,2025.0,9.0,5,3,1,0.408,0.279,-0.12899999999999995,True,0.9506058710528784,0.023058139534883716,0,2029.9999999999995,0.33245126970591654,0.8273094757478384,0.5871536425212499,-4.999999999999545
NIC_1996_2025,Nicaragua,1996.0,2025.0,30.0,1,1,1,0.676,0.151,-0.525,True,0.9831136286517089,0.03662095238095237,6,2011.6328579103745,0.1794381756699759,0.5830659798030906,0.32004366125232725,13.367142089625531
NER_2015_2025,Niger,2015.0,2025.0,11.0,1,1,1,0.622,0.227,-0.395,True,0.957532967955645,0.08134303797468354,4,2022.983015392083,1.8623961549087829,0.34486971981097253,0.44658955487904556,2.0169846079170384
ZMB_1969_1974,Zambia,1969.0,1974.0,6.0,5,3,0,0.286,0.194,-0.09199999999999997,False,0.0,0.021358695652173916,0,,,,,
