specimen_id	outcome	a_hat_paper	n_points	logistic_aic	logistic_bic	logistic_r2	logistic_inflection	logistic_success	gompertz_aic	gompertz_bic	gompertz_r2	gompertz_inflection	gompertz_success	weibull_aic	weibull_bic	weibull_r2	weibull_inflection	weibull_success	hill_aic	hill_bic	hill_r2	hill_inflection	hill_success
P_020_F_1_017_198_18	328.107787568974		500	-1959.6229895172316	-1951.1937733203872	0.9878241449951398	0.026866566318621023	True	-2277.454866778347	-2269.0256505815028	0.9935518637326651	0.018659267317718085	True	-2300.483946446709	-2292.054730249865	0.9938421174355517	0.008916488612323954	True	-2079.6914539800628	-2071.2622377832186	0.9904234446180924	0.011440887484112797	True
P_020_F_2_018_202_19	333.689163784811		500	-1915.5559397079744	-1907.12672351113	0.9857525233681634	0.031686219386629855	True	-2107.2466652929656	-2098.8174490961214	0.9902895914034046	0.022584032130698643	True	-2078.212827351445	-2069.7836111546007	0.9897090379693368	0.013571027030396143	True	-2051.109325989687	-2042.6801097928426	0.9891357993488991	0.015012447812874334	True
P_020_F_3_019_208_25	339.608208561693		500	-1239.4611478986508	-1231.0319317018063	0.9633979970843619	0.024697224611958796	True	-1444.95083844863	-1436.5216222517856	0.9757328500397393	0.016195083466458343	True	-1787.1745784224213	-1778.7453622255769	0.9877604060522137		True	-1646.2936085900633	-1637.8643923932188	0.9837768693464095	0.0033053717001509824	True
P_020_G_1_021_197_16	294.862394695144		500	-2227.2530043322167	-2218.8237881353725	0.9925905861047307	0.023955458520321833	True	-2528.527603775787	-2520.098387578943	0.9959439802287819	0.016877304359145646	True	-2402.305699965778	-2393.8764837689337	0.9947792245293451	0.01051924385568172	True	-1972.197492118144	-1963.7682759212996	0.9876597982927131	0.011965452307195817	True
P_020_G_2_022_195_24	293.457418916257		500	-2096.467957715942	-2088.0387415190976	0.9910783544809465	0.02814773667659202	True	-2599.9138767572954	-2591.484660560451	0.9967404518980839	0.019518365347244857	True	-2577.6771969746874	-2569.247980777843	0.9965922170236491	0.010117614229363971	True	-2006.2182061416206	-1997.7889899447762	0.9893135144767398	0.012835333176973168	True
P_020_G_3_023_203_17	294.527603013688		500	-1157.7857650794504	-1149.356548882606	0.9650624291672162	0.026278203745311677	True	-1430.4636060318717	-1422.0343898350272	0.9797489408391826	0.01855568453969662	True	-1643.0044053635693	-1634.5751891667248	0.9867615496877058	0.010015298773193492	True	-1699.7128832707986	-1691.2836670739541	0.9881809983936244	0.010475555577216956	True
P_020_H_1_025_199_09	323.440536128649		500	-1898.8740403634167	-1890.4448241665723	0.9819470089491502	0.01600939833658522	True	-2065.250928201734	-2056.82171200489	0.9870569676023095	0.008932220073382457	True	-1860.460670430624	-1852.0314542337796	0.980505387992062		True	-1621.8334033635613	-1613.4041871667168	0.968581633124815	0.001304508698417842	True
P_020_H_2_026_204_18	324.38003129189		500	-1141.0928758950758	-1132.6636596982314	0.9619813017184763	0.026330451473199314	True	-1343.8354489356584	-1335.406232738814	0.9746547090189955	0.018733533053489872	True	-1481.6028541799926	-1473.1736379831482	0.980758716708132	0.01076633912230889	True	-1556.4782888077846	-1548.0490726109401	0.9834347475943996	0.010586049749681605	True
P_020_H_3_027_206_11	330.215306973856		500	-1948.0124074292582	-1939.5831912324138	0.9873778691477398	0.028053697442551147	True	-2169.130154655722	-2160.7009384588778	0.9918890403069784	0.020188182110762707	True	-2126.909452553032	-2118.480236356188	0.9911743910801127	0.012698540856247855	True	-2099.350185959803	-2090.920969762959	0.9906742803851459	0.013763997544615998	True
P_020_I_1_029_196_24	295.105366392308		500	-948.0885592807687	-939.6593430839242	0.9410968295609314	0.028368899915101647	True	-1117.2845031645036	-1108.8552869676591	0.9580069961700877	0.01954311068106617	True	-1256.453694392472	-1248.0244781956276	0.9682095908107538	0.008458180014045344	True	-1297.930645897101	-1289.5014297002565	0.9707403116795853	0.010372542796325697	True
P_020_I_2_030_194_21	292.372176506131		500	-799.9059566622557	-791.4767404654112	0.906927752244058	0.01937786517615697	True	-891.5232065683894	-883.0939903715449	0.9225105692736812	0.013175462876594348	True	-972.2337571364559	-963.8045409396115	0.934061634595784	0.004271279670041731	True	-1034.2466687594886	-1025.8174525626441	0.9417528814102518	0.006466598132940638	True
P_020_I_3_031_201_22	293.586974898821		500	-1172.0331373490112	-1163.6039211521668	0.9619374751587522	0.02486851749407949	True	-1442.631643126195	-1434.2024269293506	0.9778456650408531	0.01629674360604145	True	-1992.9999889187334	-1984.570772721889	0.9926308932726058		True	-1691.988971357278	-1683.5597551604335	0.9865454339716729	0.003909964763228248	True
P_150_G_1_083_165_02	250.081479109421		500	-1879.422823229178	-1870.9936070323336	0.9793843896152985	0.07348684407608475	True	-1598.54537957971	-1590.1161633828656	0.9638454262592215	0.04369508553215366	True	-1149.1866229074037	-1140.7574067105593	0.9111880711271678	0.006670590725035877	True	-955.929984754724	-947.5007685578796	0.8692830561556144	0.0254788835076984	True
P_150_G_2_084_168_03	250.122399520679		500	-2937.41348633252	-2928.9842701356756	0.9984107680244354	0.09287677919884794	True	-2106.2279863959952	-2097.798770199151	0.9916218940792454	0.07207790844046377	True	-2195.311768028136	-2186.882551831292	0.9929891825803187	0.0753448074790181	True	-1706.1822793811307	-1697.7530631842862	0.9813524778028789	0.06890824100313636	True
P_150_G_3_085_164_04	257.011078650319		500	-2616.5329817930447	-2608.1037655962004	0.9968578329979582	0.10315321381836547	True	-1978.113689191182	-1969.6844729943375	0.9887344288359436	0.07854805268631777	True	-1992.924237662756	-1984.4950214659116	0.9890632335917275	0.07939383886095622	True	-1562.6562526804967	-1554.2270364836522	0.9741408074707678	0.07247103607413316	True
P_150_H_1_087_166_01	269.743534232647		500	-2249.9493670602274	-2241.520150863383	0.9930251356549298	0.0827556260397192	True	-2260.312485330348	-2251.8832691335037	0.9931682105196692	0.055365773479947075	True	-1887.6209790291773	-1879.1917628323329	0.9856037226637415	0.023630994248500296	True	-1454.5765662669187	-1446.1473500700743	0.9657715051343767	0.035957230481934645	True
P_150_H_2_088_170_02	269.067077941828		500	-2406.5800172385625	-2398.1508010417183	0.9952668265702804	0.07808041677533192	True	-2153.2493154348554	-2144.820099238011	0.9921441592750923	0.05555349796489249	True	-1939.118625043617	-1930.6894088467725	0.9879445278485827	0.040937844520890436	True	-1498.099236798147	-1489.6700206013027	0.9708761491942037	0.04281635978162467	True
P_150_H_3_089_152_03	266.744110505341		397	-1712.0195804330285	-1704.0517078716541	0.992390962613522	0.07132650387572495	True	-1682.2414428448376	-1674.2735702834632	0.9917982743776373	0.05016121160107855	True	-1524.5987937573582	-1516.6309211959838	0.9878000807570285	0.033382617697033046	True	-1202.792730581222	-1194.8248580198476	0.972559392279503	0.03666836568583174	True
